"Collar","GeolFrom","GeolTo","Chk","Geology_Comment","LithLocal","LithContact","LithAbund1","LithSpec1","LithMod1","LithColorMod1","LithColor1","LithAbund2","LithSpec2","LithMod2","LithColorMod2","LithColor2","LithAbund3","LithSpec3","LithMod3","LithColorMod3","LithColor3","LithAbund4","LithSpec4","LithMod4","LithColorMod4","LithColor4","LithAbund5","LithSpec5","LithMod5","LithColorMod5","LithColor5","Lithology_Category"
"EVE-20-02","103.55","130.95","0","Metavolcanic; strong foliated; coarse grained rock, drags folds(?) in faulting with increase in chloritic + sericite. S1 varies from 40°-60°; scarce & erratic Qtz veinlets. FeOx just in fractures and Goe  >  Hm. 130.95-132.25 QZ + calcite close to bottom interval.","No data","No data","No data","Metavolcanic","Coarse_Grained","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-02","130.95","132.25","0","Andesitic dike (?) Fine grained. Contact 50°.","No data","No data","No data","Dike","Andesitic","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-02","132.25","143.45","0","Metavolcanic; strong foliated; coarse grained rock,","No data","No data","No data","Metavolcanic","Coarse_Grained","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-02","143.45","152.2","0","Metarhyolite, gray to pale orange; weak foliated with minor fracturing; increase oxidation and Qtz + calcite veinlets.","No data","No data","No data","Metarhyolite","No data","No data","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-02","152.2","155.2","0","Metarhyolite; pale orange; disseminated PyOx 2%  and fine-coarse Qtz + calcite 30-25° 1-5 mm wide FeOx (Hm  >  goethite) in fractures and over printing in interval.","No data","No data","No data","Metarhyolite","No data","No data","Orange","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-02","155.2","163.85","0","Metarhyolite, pale-green-weak orange; 0.1 fresh Py , 1-2 % PyOx, disseminated, 1-2% Qtz + calcite veinlets; weak foliation, 60°; faulting 60°; erratic Qtz + calcite + galena (traces) 2 mm to 30 mm wide (160.70-161.25).","No data","No data","No data","Metarhyolite","No data","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-02","163.85","179.35","0","Metarhyolite, dark green; Coarse porphyritic texture, foliated; moderate-strong fracturing 45°-50°, filled with Hm, Qtz; veinlets increase to moderate.","No data","No data","No data","Metarhyolite","Porphyritic","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-02","179.35","179.45","0","Metavolcanic (?), green; increase propylitic alteration, & decrease oxidation along fractures. Fractured zone (weak-moderate) decrease FeOx oxidation to Gt  >  hm into fractures, Qtz + calcite + Py decrease to erratic; low RQD due intense broken zone.","No data","No data","No data","Metavolcanic","No data","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-02","179.45","200.25","0","Metarhyolite, pale green. weak foliation 50°, weak fracturing  (55-60°) varies filled with Chl Gt+ hm (2-15 cm) weak to traces fresh Py. Good RQD and core recovery.","No data","No data","No data","Metarhyolite","No data","No data","Green","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","0","6.7","0","Metarhyolite, green. Moderately fractured; Oxidized (weak-mod) FeOx, weak-mod specularite diss and filling fractures; Oxidation halos. Look like Kln-AH. (Potassic). Specularite.","No data","No data","No data","Metarhyolite","No data","Medium","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","6.7","8.3","0","Fault zone, Metavolcanic (Jar-Gt >  Hem).","No data","No data","No data","FaultBreccia","No data","Medium","Gray","No data","Metarhyolite","No data","No data","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","8.3","20.2","0","Metavolcanic/Metarhyolite(?), grey; fresh rock zone, oxidized materials. Qtz+Hem veinlets.   <  1cm wide with 45°-65°; Fractures 60°, filled with FeOx; erratic specularite along fractures (12.65 m).","No data","No data","No data","Metarhyolite","Porphyritic","Medium","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","20.2","22.1","0","Strong Fault zone. Broken rock (R2), moderate FeOx + MnOx.","No data","No data","No data","FaultBreccia","No data","Light","Orange","No data","Metarhyolite","No data","No data","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","22.1","32.05","0","Strongly crushed; clay rich interval; breccia cemented with clays; erratic Qtz veinlets with FeOx up to 4 mm thick in average but some are 2.4 cm thick.","No data","No data","No data","FaultBreccia","No data","Dull","Orange","No data","Metarhyolite","No data","No data","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","32.05","43.25","0","Metavolcanic (Rhyolite) gray; porphyritic texture, weakly foliated; Qtz + FeOx + Calcite as erratic veinlets. 50°-60°  Qtz veinlets, 5-20 mm in thickness.","No data","No data","No data","Metarhyolite","Porphyritic","Light","Orange","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","43.25","51.1","0","Strongly crushed rock interval, angular fragments. 43.25-49.10 Metavolcanic (rhyolite). 49.10-51.10 (Meta andesite).","No data","No data","No data","FaultBreccia","Brecciated","Light","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","51.1","60.1","0","Metandesite, gray to orange fine-medium grained; erratic calcite veinlets; 1-15 mm thick; disseminated PyOx , fractures filled with FeOx, weak S1=60°. Lower contact by fault (25°).","No data","No data","No data","Metandesite","Fine_Grained","Medium","Gray","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"EVE-20-03","60.1","76.15","0","Shear zone; Strong foliation; Deformed Calcite veinlets in foliation by shearing. Metavolcanic (rhyolite); chlorite increase.","No data","No data","No data","Metarhyolite","Sheared","Medium","Orange","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
